source_id,metrica_id,vintage_publicacao,ano_referencia,periodo,valor,unidade,pagina,citacao_textual,geografia_nivel,geografia_codigo,recorte_classe,recorte_programa,recorte_amostra,categoria_despesa_id,fato
strategy_impacto_apostas_consumo_2024,substituicao_categoria_despesa,2024,2024,,52,percentual,19,"Nas classes C, D e E, parte do dinheiro que costumava ser direcionado para poupança (52% dos respondentes)",pais,BR,C/D/E,,,poupanca,substituicao
strategy_impacto_apostas_consumo_2024,substituicao_categoria_despesa,2024,2024,,48,percentual,19,"bares, restaurantes e delivery (48% dos respondentes) são agora usados para as apostas",pais,BR,C/D/E,,,bares_restaurantes_delivery,substituicao
strategy_impacto_apostas_consumo_2024,substituicao_categoria_despesa,2024,2024,,43,percentual,19,compras de roupas e acessórios (43% dos respondentes),pais,BR,C/D/E,,,roupas_acessorios,substituicao
strategy_impacto_apostas_consumo_2024,substituicao_categoria_despesa,2024,2024,,41,percentual,19,"cinemas, teatros e shows (41% dos respondentes), segundo dados do Instituto Locomotiva.",pais,BR,C/D/E,,,cultura_cinema_teatro_shows,substituicao
bcb_ee119_apostas_2024,fluxo_bruto_apostado,2024,2024,2024-08-01,20800000000,brl,2,"56 empresas que somaram, em agosto, R$ 20,8 bilhões de transferências recebidas.",pais,BR,,,,,indicador
bcb_ee119_apostas_2024,fluxo_bruto_apostado,2024,2024,2024-08-01,3000000000,brl,2,5 milhões de pessoas pertencentes a famílias beneficiárias do Bolsa Família (PBF) enviaram R$ 3 bilhões às empresas de aposta,pais,BR,,PBF,,,indicador
bcb_ee119_apostas_2024,apostadores,2024,2024,2024-08-01,5000000,pessoas,2,"estima-se que, em agosto de 2024, 5 milhões de pessoas pertencentes a famílias beneficiárias do Bolsa Família (PBF)",pais,BR,,PBF,,,indicador
web_valor_klavi_apostadores_2026,apostadores,2026,2025,2025-01-01,3700000,pessoas,,"O número de apostadores brasileiros chegou a 3,7 milhões em 2025, o dobro do ano anterior. Os dados são da klavi",pais,BR,,,open_finance,,indicador
ieps_dossie_bets_saude,empregos_setor_apostas,2025,2024,2024-12-01,1144,pessoas,31,havia apenas 1.144 empregos formais ativos em 31/12/2024 com 60 empregadores formais.,pais,BR,,,,,indicador
lca_ibjr_anjl_panorama_apostas_2025,empregos_setor_apostas,2025,2025,2025-11-01,15500,pessoas,3,"15,5 mil dos vínculos são de empregos diretos e indiretos",pais,BR,,,,,indicador
anuario_cerveja_ref2023_pub2024,producao_cerveja_litros,2024,2023,2023-01-01,15361344112.77,litro,44,"O volume de produção declarado atinge nacionalmente o montante de 15.361.344.112,77 litros.",pais,BR,,,,,mercado_anual
anuario_cerveja_ref2024_pub2025,producao_cerveja_litros,2025,2024,2024-01-01,15344065267.36,litro,51,"O volume de produção declarado atinge nacionalmente o montante de 15.344.065.267,36 litros.",pais,BR,,,,,mercado_anual
anuario_cerveja_ref2025_pub2026,producao_cerveja_litros,2026,2024,2024-01-01,17210754610.75,litro,51,"quando o volume declarado de produção de cerveja foi de 17.210.754.610,75 litros.",pais,BR,,,,,mercado_anual
anuario_cerveja_ref2025_pub2026,producao_cerveja_litros,2026,2025,2025-01-01,15688083191.69,litro,51,"O volume de produção declarado atinge nacionalmente o montante de 15.688.083.191,69 litros.",pais,BR,,,,,mercado_anual
anuario_cerveja_ref2025_pub2026,empregos_setor_cerveja,2026,2025,2025-01-01,41305,pessoas,45,Fabricação de Cerveja e Chopes 41.305 (-2.72%). Somente os dados oficiais do governo federal em relação aos empregos diretos.,pais,BR,,,,,indicador
strategy_impacto_apostas_consumo_2024,participacao_orcamento_apostas,2024,2023,2023-01-01,0.73,percentual,5,"No orçamento médio familiar, elas representavam 0,73% em 2023",pais,BR,,,,,indicador
strategy_impacto_apostas_consumo_2024,participacao_orcamento_apostas,2024,2023,2023-01-01,1.38,percentual,5,"As apostas já representam 1,38% do orçamento familiar nas classes D/E",pais,BR,D/E,,,,indicador
strategy_impacto_apostas_consumo_2024,razao_apostas_alimentacao,2024,2018,2018-01-01,1.5,percentual,5,"4,9% do que é gasto em alimentação (1,5% em 2018)",pais,BR,,,,,indicador
strategy_impacto_apostas_consumo_2024,razao_apostas_alimentacao,2024,2023,2023-01-01,4.9,percentual,5,"4,9% do que é gasto em alimentação (1,5% em 2018)",pais,BR,,,,,indicador
strategy_impacto_apostas_consumo_2024,razao_apostas_lazer,2024,2018,2018-01-01,10,percentual,5,36% em lazer e cultura (10% em 2018),pais,BR,,,,,indicador
strategy_impacto_apostas_consumo_2024,razao_apostas_lazer,2024,2023,2023-01-01,36,percentual,5,36% em lazer e cultura (10% em 2018),pais,BR,,,,,indicador
fundaj_nt39_pce_2024,participacao_orcamento_apostas,2024,2024,2024-08-01,16.7,percentual,4,"já comprometeria 16,7% do valor do benefício, reduzindo seu PCE de 1,0 para aproximadamente 0,83",pais,BR,,PBF,,,indicador
fundaj_nt39_pce_2024,pce_bolsa_familia,2024,2024,2024-08-01,1.0,indice,4,"já comprometeria 16,7% do valor do benefício, reduzindo seu PCE de 1,0 para aproximadamente 0,83",pais,BR,,PBF,,,indicador
fundaj_nt39_pce_2024,pce_bolsa_familia,2024,2024,2024-08-01,0.83,indice,4,"já comprometeria 16,7% do valor do benefício, reduzindo seu PCE de 1,0 para aproximadamente 0,83",pais,BR,,PBF,mediana_r100,,indicador
